Species	Individual_hap	Color
hypoxantha	L13.2_1	#e41e26
hypoxantha	L13.2_2	#e41e26
hypoxantha	L14.2_1	#e41e26
hypoxantha	L14.2_2	#e41e26
hypoxantha	L15.2_1	#e41e26
hypoxantha	L15.2_2	#e41e26
hypoxantha	L16.2_1	#e41e26
hypoxantha	L16.2_2	#e41e26
hypoxantha	L18.2_1	#e41e26
hypoxantha	L18.2_2	#e41e26
hypoxantha	L19.2_1	#e41e26
hypoxantha	L19.2_2	#e41e26
hypoxantha	L20_1	#e41e26
hypoxantha	L20_2	#e41e26
hypoxantha	L21_1	#e41e26
hypoxantha	L21_2	#e41e26
hypoxantha	L22_1	#e41e26
hypoxantha	L22_2	#e41e26
hypoxantha	L23_1	#e41e26
hypoxantha	L23_2	#e41e26
hypoxantha	L25_1	#e41e26
hypoxantha	L25_2	#e41e26
hypoxantha	L27_1	#e41e26
hypoxantha	L27_2	#e41e26
melanogaster	L10.2_1	#337fba
melanogaster	L10.2_2	#337fba
melanogaster	L11.2_1	#337fba
melanogaster	L11.2_2	#337fba
melanogaster	L12.2_1	#337fba
melanogaster	L12.2_2	#337fba
melanogaster	L13_1	#337fba
melanogaster	L13_2	#337fba
melanogaster	L14_1	#337fba
melanogaster	L14_2	#337fba
melanogaster	L15_1	#337fba
melanogaster	L15_2	#337fba
melanogaster	L16_1	#337fba
melanogaster	L16_2	#337fba
melanogaster	L18_1	#337fba
melanogaster	L18_2	#337fba
melanogaster	L19_1	#337fba
melanogaster	L19_2	#337fba
melanogaster	L7.2_1	#337fba
melanogaster	L7.2_2	#337fba
melanogaster	L8.2_1	#337fba
melanogaster	L8.2_2	#337fba
melanogaster	L9.2_1	#337fba
melanogaster	L9.2_2	#337fba
nigrorufa	L1_1	#4cb049
nigrorufa	L1_2	#4cb049
nigrorufa	L1.2_1	#4cb049
nigrorufa	L1.2_2	#4cb049
nigrorufa	L2_1	#4cb049
nigrorufa	L2_2	#4cb049
nigrorufa	L2.2_1	#4cb049
nigrorufa	L2.2_2	#4cb049
nigrorufa	L3_1	#4cb049
nigrorufa	L3_2	#4cb049
nigrorufa	L3.2_1	#4cb049
nigrorufa	L3.2_2	#4cb049
nigrorufa	L4_1	#4cb049
nigrorufa	L4_2	#4cb049
nigrorufa	L4.2_1	#4cb049
nigrorufa	L4.2_2	#4cb049
nigrorufa	L5_1	#4cb049
nigrorufa	L5_2	#4cb049
nigrorufa	L5.2_1	#4cb049
nigrorufa	L5.2_2	#4cb049
nigrorufa	L6_1	#4cb049
nigrorufa	L6_2	#4cb049
nigrorufa	L6.2_1	#4cb049
nigrorufa	L6.2_2	#4cb049
palustris	L10.3_1	#984f9f
palustris	L10.3_2	#984f9f
palustris	L11.3_1	#984f9f
palustris	L11.3_2	#984f9f
palustris	L12.3_1	#984f9f
palustris	L12.3_2	#984f9f
palustris	L1.3_1	#984f9f
palustris	L1.3_2	#984f9f
palustris	L2.3_1	#984f9f
palustris	L2.3_2	#984f9f
palustris	L3.3_1	#984f9f
palustris	L3.3_2	#984f9f
palustris	L4.3_1	#984f9f
palustris	L4.3_2	#984f9f
palustris	L5.3_1	#984f9f
palustris	L5.3_2	#984f9f
palustris	L6.3_1	#984f9f
palustris	L6.3_2	#984f9f
palustris	L7.3_1	#984f9f
palustris	L7.3_2	#984f9f
palustris	L8.3_1	#984f9f
palustris	L8.3_2	#984f9f
palustris	L9.3_1	#984f9f
palustris	L9.3_2	#984f9f
pileata	L10_1	#f57f20
pileata	L10_2	#f57f20
pileata	L11_1	#f57f20
pileata	L11_2	#f57f20
pileata	L12_1	#f57f20
pileata	L12_2	#f57f20
pileata	L20.2_1	#f57f20
pileata	L20.2_2	#f57f20
pileata	L21.2_1	#f57f20
pileata	L21.2_2	#f57f20
pileata	L22.2_1	#f57f20
pileata	L22.2_2	#f57f20
pileata	L23.2_1	#f57f20
pileata	L23.2_2	#f57f20
pileata	L25.2_1	#f57f20
pileata	L25.2_2	#f57f20
pileata	L27.2_1	#f57f20
pileata	L27.2_2	#f57f20
pileata	L7_1	#f57f20
pileata	L7_2	#f57f20
pileata	L8_1	#f57f20
pileata	L8_2	#f57f20
pileata	L9_1	#f57f20
pileata	L9_2	#f57f20
