peakID	Scaffold	Chromosome	startPos	endPos	peakCenterStart	peakCenterEnd
59	59	15	5750000	5835000	5750000	5835000
118	118	2	7165000	7190000	7165000	7190000
252	252	20	420000	510000	420000	510000
257a	257	Z	5800000	6170000	5970000	6170000
257b	257	Z	21245000	21745000	21510000	21710000
257c	257	Z	23975000	24815000	24375000	24575000
257d	257	Z	28665000	28930000	28665000	28865000
257e	257	Z	31310000	31355000	31310000	31355000
263	263	Z	20000	555000	355000	555000
308	308	Unknown	55000	195000	55000	195000
404a	404	Z	5050000	5815000	5380000	5580000
404b	404	Z	10730000	10925000	10730000	10925000
412	412	1A	3390000	3595000	3390000	3590000
430	430	1	10995000	11080000	10995000	11080000
567	567	2	2515000	2775000	2515000	2715000
579	579	1	335000	1005000	335000	535000
637a	637	Z	6015000	6315000	6115000	6315000
637b	637	Z	6850000	6890000	6850000	6890000
762	762	11	1660000	1695000	1660000	1695000
766	766	4	2000000	2065000	2000000	2065000
791	791	1	9905000	9955000	9905000	9955000
1635	1635	6	3710000	3740000	3710000	3740000
1717	1717	4	930000	960000	930000	960000
1954	1954	5	2825000	2900000	2825000	2900000
3622	3622	1	975000	1360000	975000	1175000
